"촬영ID","공간ID","층","종류","이름","폴더","현장확인"
"3F_5-5","3F_5-5","3F","classroom","5-5 교실","촬영사진_넣는곳/3층/교실/5-5 교실","필요"
"3F_5-6","3F_5-6","3F","classroom","5-6 교실","촬영사진_넣는곳/3층/교실/5-6 교실","필요"
"3F_5-7","3F_5-7","3F","classroom","5-7 교실","촬영사진_넣는곳/3층/교실/5-7 교실","필요"
"3F_4-5","3F_4-5","3F","classroom","4-5 교실","촬영사진_넣는곳/3층/교실/4-5 교실","필요"
"3F_4-6","3F_4-6","3F","classroom","4-6 교실","촬영사진_넣는곳/3층/교실/4-6 교실","필요"
"2F_3-7","2F_3-7","2F","classroom","3-7 교실","촬영사진_넣는곳/2층/교실/3-7 교실","필요"
"4F_6-1","4F_6-1","4F","classroom","6-1 교실","촬영사진_넣는곳/4층/교실/6-1 교실","필요"
"4F_6-2","4F_6-2","4F","classroom","6-2 교실","촬영사진_넣는곳/4층/교실/6-2 교실","필요"
"4F_6-3","4F_6-3","4F","classroom","6-3 교실","촬영사진_넣는곳/4층/교실/6-3 교실","필요"
"4F_6-4","4F_6-4","4F","classroom","6-4 교실","촬영사진_넣는곳/4층/교실/6-4 교실","필요"
"4F_6-5","4F_6-5","4F","classroom","6-5 교실","촬영사진_넣는곳/4층/교실/6-5 교실","필요"
"4F_6-6","4F_6-6","4F","classroom","6-6 교실","촬영사진_넣는곳/4층/교실/6-6 교실","필요"
"4F_6-7","4F_6-7","4F","classroom","6-7 교실","촬영사진_넣는곳/4층/교실/6-7 교실","필요"
"4F_4-1","4F_4-1","4F","classroom","4-1 교실","촬영사진_넣는곳/4층/교실/4-1 교실","필요"
"4F_4-2","4F_4-2","4F","classroom","4-2 교실","촬영사진_넣는곳/4층/교실/4-2 교실","필요"
"4F_4-3","4F_4-3","4F","classroom","4-3 교실","촬영사진_넣는곳/4층/교실/4-3 교실","필요"
"4F_4-4","4F_4-4","4F","classroom","4-4 교실","촬영사진_넣는곳/4층/교실/4-4 교실","필요"
"3F_4-7","3F_4-7","3F","classroom","4-7 교실","촬영사진_넣는곳/3층/교실/4-7 교실","필요"
"3F_4-8","3F_4-8","3F","classroom","4-8 교실","촬영사진_넣는곳/3층/교실/4-8 교실","필요"
"1F_STORAGE_1","1F_STORAGE_1","1F","special_room","창고 1","촬영사진_넣는곳/1층/특별실_지원실/창고 1","필요"
"1F_STORAGE_2","1F_STORAGE_2","1F","special_room","창고 2","촬영사진_넣는곳/1층/특별실_지원실/창고 2","필요"
"1F_MULTIPURPOSE","1F_MULTIPURPOSE","1F","special_room","다목적실","촬영사진_넣는곳/1층/특별실_지원실/다목적실","필요"
"1F_NIGHT_DUTY","1F_NIGHT_DUTY","1F","special_room","숙직실","촬영사진_넣는곳/1층/특별실_지원실/숙직실","필요"
"1F_ADMIN","1F_ADMIN","1F","special_room","행정실","촬영사진_넣는곳/1층/특별실_지원실/행정실","필요"
"1F_NURSE","1F_NURSE","1F","special_room","보건실","촬영사진_넣는곳/1층/특별실_지원실/보건실","필요"
"1F_PRINTING","1F_PRINTING","1F","special_room","발간실","촬영사진_넣는곳/1층/특별실_지원실/발간실","필요"
"1F_MEAL_CART_STORAGE","1F_MEAL_CART_STORAGE","1F","special_room","배식차 보관실","촬영사진_넣는곳/1층/특별실_지원실/배식차 보관실","필요"
"1F_NUTRITION","1F_NUTRITION","1F","special_room","영양교사실","촬영사진_넣는곳/1층/특별실_지원실/영양교사실","필요"
"1F_COOKING","1F_COOKING","1F","special_room","조리실","촬영사진_넣는곳/1층/특별실_지원실/조리실","필요"
"1F_CAFETERIA","1F_CAFETERIA","1F","special_room","급식실","촬영사진_넣는곳/1층/특별실_지원실/급식실","필요"
"3F_GRADE1_RESEARCH","3F_GRADE1_RESEARCH","3F","special_room","1학년 연수실","촬영사진_넣는곳/3층/특별실_지원실/1학년 연수실","필요"
"4F_KINDERGARTEN","4F_KINDERGARTEN","4F","special_room","까치방","촬영사진_넣는곳/4층/특별실_지원실/까치방","필요"
"4F_COMPUTER","4F_COMPUTER","4F","special_room","컴퓨터실","촬영사진_넣는곳/4층/특별실_지원실/컴퓨터실","필요"
"2F_AUDIO_VISUAL","2F_AUDIO_VISUAL","2F","special_room","시청각실","촬영사진_넣는곳/2층/특별실_지원실/시청각실","필요"
"2F_KOREAN_CLASS","2F_KOREAN_CLASS","2F","special_room","한국어학급","촬영사진_넣는곳/2층/특별실_지원실/한국어학급","필요"
"2F_CARE_DREAM_HOPE","2F_CARE_DREAM_HOPE","2F","special_room","돌봄교실(꿈희망)","촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈희망)","필요"
"2F_CARE_DREAM_WISH","2F_CARE_DREAM_WISH","2F","special_room","돌봄교실(꿈소망)","촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈소망)","필요"
"2F_CARE_DREAM_LOVE","2F_CARE_DREAM_LOVE","2F","special_room","돌봄교실(꿈사랑)","촬영사진_넣는곳/2층/특별실_지원실/돌봄교실(꿈사랑)","필요"
"2F_PRINCIPAL","2F_PRINCIPAL","2F","special_room","교장실","촬영사진_넣는곳/2층/특별실_지원실/교장실","필요"
"2F_OPERATIONS_MEETING","2F_OPERATIONS_MEETING","2F","special_room","학교운영위원회의실","촬영사진_넣는곳/2층/특별실_지원실/학교운영위원회의실","필요"
"2F_STAFF","2F_STAFF","2F","special_room","교무실","촬영사진_넣는곳/2층/특별실_지원실/교무실","필요"
"2F_BROADCAST","2F_BROADCAST","2F","special_room","방송실(교원회의실)","촬영사진_넣는곳/2층/특별실_지원실/방송실(교원회의실)","필요"
"2F_SCIENCE_PREP","2F_SCIENCE_PREP","2F","special_room","과학준비실","촬영사진_넣는곳/2층/특별실_지원실/과학준비실","필요"
"2F_INTELLIGENT_SCIENCE","2F_INTELLIGENT_SCIENCE","2F","special_room","지능형과학실","촬영사진_넣는곳/2층/특별실_지원실/지능형과학실","필요"
"2F_SCIENCE","2F_SCIENCE","2F","special_room","과학실","촬영사진_넣는곳/2층/특별실_지원실/과학실","필요"
"4F_GRADE2_RESEARCH","4F_GRADE2_RESEARCH","4F","special_room","2학년 연수실","촬영사진_넣는곳/4층/특별실_지원실/2학년 연수실","필요"
"3F_COUNSELING","3F_COUNSELING","3F","special_room","상담실","촬영사진_넣는곳/3층/특별실_지원실/상담실","필요"
"3F_GRADE5_RESEARCH","3F_GRADE5_RESEARCH","3F","special_room","5학년 연수실","촬영사진_넣는곳/3층/특별실_지원실/5학년 연수실","필요"
"3F_BOOK_LIBRARY","3F_BOOK_LIBRARY","3F","special_room","책터 도서관","촬영사진_넣는곳/3층/특별실_지원실/책터 도서관","필요"
"4F_GRADE6_RESEARCH","4F_GRADE6_RESEARCH","4F","special_room","6학년 연수실","촬영사진_넣는곳/4층/특별실_지원실/6학년 연수실","필요"
"4F_GRADE4_RESEARCH","4F_GRADE4_RESEARCH","4F","special_room","4학년 연수실","촬영사진_넣는곳/4층/특별실_지원실/4학년 연수실","필요"
"2F_INDIVIDUAL_1","2F_INDIVIDUAL_1","2F","special_room","개별학습실1","촬영사진_넣는곳/2층/특별실_지원실/개별학습실1","필요"
"2F_INDIVIDUAL_2","2F_INDIVIDUAL_2","2F","special_room","개별학습실2","촬영사진_넣는곳/2층/특별실_지원실/개별학습실2","필요"
"3F_INDIVIDUAL_3","3F_INDIVIDUAL_3","3F","special_room","개별학습실3","촬영사진_넣는곳/3층/특별실_지원실/개별학습실3","필요"
"1F_INDIVIDUAL_4","1F_INDIVIDUAL_4","1F","special_room","개별학습실4","촬영사진_넣는곳/1층/특별실_지원실/개별학습실4","필요"
"1F_INDIVIDUAL_5","1F_INDIVIDUAL_5","1F","special_room","개별학습실5","촬영사진_넣는곳/1층/특별실_지원실/개별학습실5","필요"
"1F_MAIN_CORRIDOR_01","1F_MAIN_CORRIDOR_01","1F","corridor","3-4 교실에서 본관 출입구까지 복도","촬영사진_넣는곳/1층/복도/3-4 교실에서 본관 출입구까지 복도","필요"
"1F_MAIN_CORRIDOR_02","1F_MAIN_CORRIDOR_02","1F","corridor","행정실에서 급식실까지 복도","촬영사진_넣는곳/1층/복도/행정실에서 급식실까지 복도","필요"
"1F_ANNEX_CORRIDOR_01","1F_ANNEX_CORRIDOR_01","1F","corridor","1-6 교실에서 1-3 교실까지 복도","촬영사진_넣는곳/1층/복도/1-6 교실에서 1-3 교실까지 복도","필요"
"1F_MAIN_STAIR_A","1F_MAIN_STAIR_A","1F","stair","3-4 교실 옆 다목적실 쪽 계단","촬영사진_넣는곳/1층/계단/3-4 교실 옆 다목적실 쪽 계단","필요"
"1F_MAIN_STAIR_A_LANDING","1F_MAIN_STAIR_A","1F","stair_landing","1층 3-4 교실 옆 다목적실 쪽 계단 입구와 계단참","촬영사진_넣는곳/1층/계단/3-4 교실 옆 다목적실 쪽 계단/01_해당층_계단입구와참","필요"
"1F_MAIN_STAIR_A_UP","1F_MAIN_STAIR_A","1F","stair_flight","1층→2층 3-4 교실 옆 다목적실 쪽 계단","촬영사진_넣는곳/1층/계단/3-4 교실 옆 다목적실 쪽 계단/02_1층에서_2층으로_올라가는구간","필요"
"1F_MAIN_STAIR_B","1F_MAIN_STAIR_B","1F","stair","본관 출입구 뒤 숙직실 옆 계단","촬영사진_넣는곳/1층/계단/본관 출입구 뒤 숙직실 옆 계단","필요"
"1F_MAIN_STAIR_B_LANDING","1F_MAIN_STAIR_B","1F","stair_landing","1층 본관 출입구 뒤 숙직실 옆 계단 입구와 계단참","촬영사진_넣는곳/1층/계단/본관 출입구 뒤 숙직실 옆 계단/01_해당층_계단입구와참","필요"
"1F_MAIN_STAIR_B_UP","1F_MAIN_STAIR_B","1F","stair_flight","1층→2층 본관 출입구 뒤 숙직실 옆 계단","촬영사진_넣는곳/1층/계단/본관 출입구 뒤 숙직실 옆 계단/02_1층에서_2층으로_올라가는구간","필요"
"1F_ANNEX_STAIR_D","1F_ANNEX_STAIR_D","1F","stair","1-6 교실 옆 별관 출입구 쪽 계단 위치 확인","촬영사진_넣는곳/1층/계단/1-6 교실 옆 별관 출입구 쪽 계단 위치 확인","필요"
"1F_ANNEX_STAIR_D_LANDING","1F_ANNEX_STAIR_D","1F","stair_landing","1층 1-6 교실 옆 별관 출입구 쪽 계단 위치 확인 입구와 계단참","촬영사진_넣는곳/1층/계단/1-6 교실 옆 별관 출입구 쪽 계단 위치 확인/01_해당층_계단입구와참","필요"
"1F_ANNEX_STAIR_D_UP","1F_ANNEX_STAIR_D","1F","stair_flight","1층→2층 1-6 교실 옆 별관 출입구 쪽 계단 위치 확인","촬영사진_넣는곳/1층/계단/1-6 교실 옆 별관 출입구 쪽 계단 위치 확인/02_1층에서_2층으로_올라가는구간","필요"
"1F_MAIN_TOILET_A","1F_MAIN_TOILET_A","1F","toilet","3-4 교실 쪽 화장실","촬영사진_넣는곳/1층/기타_촬영전허가필요/3-4 교실 쪽 화장실","필요"
"1F_MAIN_TOILET_B","1F_MAIN_TOILET_B","1F","toilet","행정실 쪽 화장실","촬영사진_넣는곳/1층/기타_촬영전허가필요/행정실 쪽 화장실","필요"
"1F_ANNEX_TOILET_A","1F_ANNEX_TOILET_A","1F","toilet","1-6 교실 쪽 화장실","촬영사진_넣는곳/1층/기타_촬영전허가필요/1-6 교실 쪽 화장실","필요"
"2F_MAIN_CORRIDOR_01","2F_MAIN_CORRIDOR_01","2F","corridor","돌봄교실(꿈희망)에서 교무실까지 복도","촬영사진_넣는곳/2층/복도/돌봄교실(꿈희망)에서 교무실까지 복도","필요"
"2F_MAIN_CORRIDOR_02","2F_MAIN_CORRIDOR_02","2F","corridor","교무실에서 과학실까지 복도","촬영사진_넣는곳/2층/복도/교무실에서 과학실까지 복도","필요"
"2F_ANNEX_CORRIDOR_01","2F_ANNEX_CORRIDOR_01","2F","corridor","개별학습실2에서 1-1 교실까지 복도","촬영사진_넣는곳/2층/복도/개별학습실2에서 1-1 교실까지 복도","필요"
"2F_MAIN_STAIR_A","2F_MAIN_STAIR_A","2F","stair","돌봄교실(꿈희망) 옆 한국어학급 쪽 계단","촬영사진_넣는곳/2층/계단/돌봄교실(꿈희망) 옆 한국어학급 쪽 계단","필요"
"2F_MAIN_STAIR_A_LANDING","2F_MAIN_STAIR_A","2F","stair_landing","2층 돌봄교실(꿈희망) 옆 한국어학급 쪽 계단 입구와 계단참","촬영사진_넣는곳/2층/계단/돌봄교실(꿈희망) 옆 한국어학급 쪽 계단/01_해당층_계단입구와참","필요"
"2F_MAIN_STAIR_A_UP","2F_MAIN_STAIR_A","2F","stair_flight","2층→3층 돌봄교실(꿈희망) 옆 한국어학급 쪽 계단","촬영사진_넣는곳/2층/계단/돌봄교실(꿈희망) 옆 한국어학급 쪽 계단/02_2층에서_3층으로_올라가는구간","필요"
"2F_MAIN_STAIR_B","2F_MAIN_STAIR_B","2F","stair","교무실 앞 3학년 연수실 옆 계단","촬영사진_넣는곳/2층/계단/교무실 앞 3학년 연수실 옆 계단","필요"
"2F_MAIN_STAIR_B_LANDING","2F_MAIN_STAIR_B","2F","stair_landing","2층 교무실 앞 3학년 연수실 옆 계단 입구와 계단참","촬영사진_넣는곳/2층/계단/교무실 앞 3학년 연수실 옆 계단/01_해당층_계단입구와참","필요"
"2F_MAIN_STAIR_B_UP","2F_MAIN_STAIR_B","2F","stair_flight","2층→3층 교무실 앞 3학년 연수실 옆 계단","촬영사진_넣는곳/2층/계단/교무실 앞 3학년 연수실 옆 계단/02_2층에서_3층으로_올라가는구간","필요"
"2F_ANNEX_STAIR_D","2F_ANNEX_STAIR_D","2F","stair","개별학습실2 옆 연결복도 쪽 계단","촬영사진_넣는곳/2층/계단/개별학습실2 옆 연결복도 쪽 계단","필요"
"2F_ANNEX_STAIR_D_LANDING","2F_ANNEX_STAIR_D","2F","stair_landing","2층 개별학습실2 옆 연결복도 쪽 계단 입구와 계단참","촬영사진_넣는곳/2층/계단/개별학습실2 옆 연결복도 쪽 계단/01_해당층_계단입구와참","필요"
"2F_ANNEX_STAIR_D_UP","2F_ANNEX_STAIR_D","2F","stair_flight","2층→3층 개별학습실2 옆 연결복도 쪽 계단","촬영사진_넣는곳/2층/계단/개별학습실2 옆 연결복도 쪽 계단/02_2층에서_3층으로_올라가는구간","필요"
"2F_MAIN_TOILET_A","2F_MAIN_TOILET_A","2F","toilet","돌봄교실(꿈희망) 쪽 화장실","촬영사진_넣는곳/2층/기타_촬영전허가필요/돌봄교실(꿈희망) 쪽 화장실","필요"
"2F_MAIN_TOILET_B","2F_MAIN_TOILET_B","2F","toilet","방송실(교원회의실) 쪽 화장실","촬영사진_넣는곳/2층/기타_촬영전허가필요/방송실(교원회의실) 쪽 화장실","필요"
"2F_ANNEX_TOILET_A","2F_ANNEX_TOILET_A","2F","toilet","개별학습실2 쪽 화장실","촬영사진_넣는곳/2층/기타_촬영전허가필요/개별학습실2 쪽 화장실","필요"
"3F_MAIN_CORRIDOR_01","3F_MAIN_CORRIDOR_01","3F","corridor","5-7 교실에서 5-3 교실까지 복도","촬영사진_넣는곳/3층/복도/5-7 교실에서 5-3 교실까지 복도","필요"
"3F_MAIN_CORRIDOR_02","3F_MAIN_CORRIDOR_02","3F","corridor","5-2 교실에서 4-6 교실까지 복도","촬영사진_넣는곳/3층/복도/5-2 교실에서 4-6 교실까지 복도","필요"
"3F_ANNEX_CORRIDOR_01","3F_ANNEX_CORRIDOR_01","3F","corridor","4-7 교실에서 개별학습실3까지 복도","촬영사진_넣는곳/3층/복도/4-7 교실에서 개별학습실3까지 복도","필요"
"3F_MAIN_STAIR_A","3F_MAIN_STAIR_A","3F","stair","5-7 교실 옆 상담실 쪽 계단","촬영사진_넣는곳/3층/계단/5-7 교실 옆 상담실 쪽 계단","필요"
"3F_MAIN_STAIR_A_LANDING","3F_MAIN_STAIR_A","3F","stair_landing","3층 5-7 교실 옆 상담실 쪽 계단 입구와 계단참","촬영사진_넣는곳/3층/계단/5-7 교실 옆 상담실 쪽 계단/01_해당층_계단입구와참","필요"
"3F_MAIN_STAIR_A_UP","3F_MAIN_STAIR_A","3F","stair_flight","3층→4층 5-7 교실 옆 상담실 쪽 계단","촬영사진_넣는곳/3층/계단/5-7 교실 옆 상담실 쪽 계단/02_3층에서_4층으로_올라가는구간","필요"
"3F_MAIN_STAIR_B","3F_MAIN_STAIR_B","3F","stair","5-3 교실 앞 5학년 연수실 옆 계단","촬영사진_넣는곳/3층/계단/5-3 교실 앞 5학년 연수실 옆 계단","필요"
"3F_MAIN_STAIR_B_LANDING","3F_MAIN_STAIR_B","3F","stair_landing","3층 5-3 교실 앞 5학년 연수실 옆 계단 입구와 계단참","촬영사진_넣는곳/3층/계단/5-3 교실 앞 5학년 연수실 옆 계단/01_해당층_계단입구와참","필요"
"3F_MAIN_STAIR_B_UP","3F_MAIN_STAIR_B","3F","stair_flight","3층→4층 5-3 교실 앞 5학년 연수실 옆 계단","촬영사진_넣는곳/3층/계단/5-3 교실 앞 5학년 연수실 옆 계단/02_3층에서_4층으로_올라가는구간","필요"
"3F_ANNEX_STAIR_D","3F_ANNEX_STAIR_D","3F","stair","4-7 교실 옆 연결복도 쪽 계단","촬영사진_넣는곳/3층/계단/4-7 교실 옆 연결복도 쪽 계단","필요"
"3F_ANNEX_STAIR_D_LANDING","3F_ANNEX_STAIR_D","3F","stair_landing","3층 4-7 교실 옆 연결복도 쪽 계단 입구와 계단참","촬영사진_넣는곳/3층/계단/4-7 교실 옆 연결복도 쪽 계단/01_해당층_계단입구와참","필요"
"3F_ANNEX_STAIR_D_UP","3F_ANNEX_STAIR_D","3F","stair_flight","3층→4층 4-7 교실 옆 연결복도 쪽 계단","촬영사진_넣는곳/3층/계단/4-7 교실 옆 연결복도 쪽 계단/02_3층에서_4층으로_올라가는구간","필요"
"3F_MAIN_TOILET_A","3F_MAIN_TOILET_A","3F","toilet","5-7 교실 쪽 화장실","촬영사진_넣는곳/3층/기타_촬영전허가필요/5-7 교실 쪽 화장실","필요"
"3F_MAIN_TOILET_B","3F_MAIN_TOILET_B","3F","toilet","5-2 교실 쪽 화장실","촬영사진_넣는곳/3층/기타_촬영전허가필요/5-2 교실 쪽 화장실","필요"
"3F_ANNEX_TOILET_A","3F_ANNEX_TOILET_A","3F","toilet","4-7 교실 쪽 화장실","촬영사진_넣는곳/3층/기타_촬영전허가필요/4-7 교실 쪽 화장실","필요"
"4F_MAIN_CORRIDOR_01","4F_MAIN_CORRIDOR_01","4F","corridor","6-7 교실에서 6-3 교실까지 복도","촬영사진_넣는곳/4층/복도/6-7 교실에서 6-3 교실까지 복도","필요"
"4F_MAIN_CORRIDOR_02","4F_MAIN_CORRIDOR_02","4F","corridor","6-2 교실에서 4-2 교실까지 복도","촬영사진_넣는곳/4층/복도/6-2 교실에서 4-2 교실까지 복도","필요"
"4F_ANNEX_CORRIDOR_01","4F_ANNEX_CORRIDOR_01","4F","corridor","4-4 교실에서 컴퓨터실까지 복도","촬영사진_넣는곳/4층/복도/4-4 교실에서 컴퓨터실까지 복도","필요"
"4F_MAIN_STAIR_A","4F_MAIN_STAIR_A","4F","stair","6-7 교실 옆 계단","촬영사진_넣는곳/4층/계단/6-7 교실 옆 계단","필요"
"4F_MAIN_STAIR_A_LANDING","4F_MAIN_STAIR_A","4F","stair_landing","4층 6-7 교실 옆 계단 입구와 계단참","촬영사진_넣는곳/4층/계단/6-7 교실 옆 계단/01_해당층_계단입구와참","필요"
"4F_MAIN_STAIR_B","4F_MAIN_STAIR_B","4F","stair","6-3 교실 앞 6학년 연수실 옆 계단","촬영사진_넣는곳/4층/계단/6-3 교실 앞 6학년 연수실 옆 계단","필요"
"4F_MAIN_STAIR_B_LANDING","4F_MAIN_STAIR_B","4F","stair_landing","4층 6-3 교실 앞 6학년 연수실 옆 계단 입구와 계단참","촬영사진_넣는곳/4층/계단/6-3 교실 앞 6학년 연수실 옆 계단/01_해당층_계단입구와참","필요"
"4F_ANNEX_STAIR_D","4F_ANNEX_STAIR_D","4F","stair","4-4 교실 옆 연결복도 쪽 계단","촬영사진_넣는곳/4층/계단/4-4 교실 옆 연결복도 쪽 계단","필요"
"4F_ANNEX_STAIR_D_LANDING","4F_ANNEX_STAIR_D","4F","stair_landing","4층 4-4 교실 옆 연결복도 쪽 계단 입구와 계단참","촬영사진_넣는곳/4층/계단/4-4 교실 옆 연결복도 쪽 계단/01_해당층_계단입구와참","필요"
"4F_MAIN_TOILET_A","4F_MAIN_TOILET_A","4F","toilet","6-7 교실 쪽 화장실","촬영사진_넣는곳/4층/기타_촬영전허가필요/6-7 교실 쪽 화장실","필요"
"4F_MAIN_TOILET_B","4F_MAIN_TOILET_B","4F","toilet","6-2 교실 쪽 화장실","촬영사진_넣는곳/4층/기타_촬영전허가필요/6-2 교실 쪽 화장실","필요"
"4F_ANNEX_TOILET_A","4F_ANNEX_TOILET_A","4F","toilet","4-4 교실 쪽 화장실","촬영사진_넣는곳/4층/기타_촬영전허가필요/4-4 교실 쪽 화장실","필요"
"2F_CONNECTOR","2F_CONNECTOR","2F","corridor","과학실에서 개별학습실2까지 연결복도","촬영사진_넣는곳/2층/복도/과학실에서 개별학습실2까지 연결복도","필요"
"3F_CONNECTOR","3F_CONNECTOR","3F","corridor","4-6 교실에서 4-7 교실까지 연결복도","촬영사진_넣는곳/3층/복도/4-6 교실에서 4-7 교실까지 연결복도","필요"
"4F_CONNECTOR","4F_CONNECTOR","4F","corridor","4-2 교실에서 4-4 교실까지 연결복도","촬영사진_넣는곳/4층/복도/4-2 교실에서 4-4 교실까지 연결복도","필요"
"EXT_MAIN_GATE","EXT_MAIN_GATE","EXTERIOR","exterior","정문","촬영사진_넣는곳/외부/외부공간/정문","필요"
"EXT_REAR_GATE","EXT_REAR_GATE","EXTERIOR","exterior","후문","촬영사진_넣는곳/외부/외부공간/후문","필요"
"EXT_PLAYGROUND","EXT_PLAYGROUND","EXTERIOR","exterior","운동장","촬영사진_넣는곳/외부/외부공간/운동장","필요"
"EXT_PLAY_AREA","EXT_PLAY_AREA","EXTERIOR","exterior","놀이터 및 모래터","촬영사진_넣는곳/외부/외부공간/놀이터 및 모래터","필요"
"EXT_SCHOOL_GARDEN","EXT_SCHOOL_GARDEN","EXTERIOR","exterior","학교텃밭","촬영사진_넣는곳/외부/외부공간/학교텃밭","필요"
"EXT_MEDITATION_GROVE","EXT_MEDITATION_GROVE","EXTERIOR","exterior","명상숲","촬영사진_넣는곳/외부/외부공간/명상숲","필요"
"EXT_ROSTRUM","EXT_ROSTRUM","EXTERIOR","exterior","구령대","촬영사진_넣는곳/외부/외부공간/구령대","필요"
"EXT_MAIN_ENTRANCE","EXT_MAIN_ENTRANCE","EXTERIOR","entrance","본관 출입구","촬영사진_넣는곳/외부/출입구_현관/본관 출입구","필요"
"EXT_ANNEX_ENTRANCE","EXT_ANNEX_ENTRANCE","EXTERIOR","entrance","별관 출입구","촬영사진_넣는곳/외부/출입구_현관/별관 출입구","필요"
"EXT_GUARD_POST","EXT_GUARD_POST","EXTERIOR","special_room","배움터지킴이실","촬영사진_넣는곳/외부/특별실_지원실/배움터지킴이실","필요"
"2F_GRADE3_RESEARCH","2F_GRADE3_RESEARCH","2F","special_room","3학년 연수실","촬영사진_넣는곳/2층/특별실_지원실/3학년 연수실","필요"
"1F_MAIN_LOBBY","1F_MAIN_LOBBY","1F","entrance","본관 출입구","촬영사진_넣는곳/1층/출입구_현관/본관 출입구","필요"
"1F_ANNEX_STAIR_E","1F_ANNEX_STAIR_E","1F","stair","개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인","촬영사진_넣는곳/1층/계단/개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인","필요"
"1F_ANNEX_STAIR_E_LANDING","1F_ANNEX_STAIR_E","1F","stair_landing","1층 개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인 입구와 계단참","촬영사진_넣는곳/1층/계단/개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인/01_해당층_계단입구와참","필요"
"1F_ANNEX_STAIR_E_UP","1F_ANNEX_STAIR_E","1F","stair_flight","1층→2층 개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인","촬영사진_넣는곳/1층/계단/개별학습실5와 개별학습실4 사이 별관 출입구 쪽 계단 위치 확인/02_1층에서_2층으로_올라가는구간","필요"
"2F_ANNEX_STAIR_E","2F_ANNEX_STAIR_E","2F","stair","3-7 교실과 2-6 교실 사이 계단","촬영사진_넣는곳/2층/계단/3-7 교실과 2-6 교실 사이 계단","필요"
"2F_ANNEX_STAIR_E_LANDING","2F_ANNEX_STAIR_E","2F","stair_landing","2층 3-7 교실과 2-6 교실 사이 계단 입구와 계단참","촬영사진_넣는곳/2층/계단/3-7 교실과 2-6 교실 사이 계단/01_해당층_계단입구와참","필요"
"2F_ANNEX_STAIR_E_UP","2F_ANNEX_STAIR_E","2F","stair_flight","2층→3층 3-7 교실과 2-6 교실 사이 계단","촬영사진_넣는곳/2층/계단/3-7 교실과 2-6 교실 사이 계단/02_2층에서_3층으로_올라가는구간","필요"
